run_config,sys_name,sys_processor,sys_phy_cores_count,sys_tot_cores_count,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,run_settings,run_threads,run_input1,run_outputF_1P,run_seedMismatch,run_palindromeClipThreshold,run_simpleClipThreshold,run_leading,run_trailing,run_sliding_size,run_sliding_quality,run_minlen,run_mi_length,run_mi_strict,total_exe_time_s,total_wt_tau_time_ms,max_bytes_read_mb,max_bytes_written_mb,max_read_bw_mbps,max_write_bw_mbps
run-62.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.8,5.3716864585876465,284786,7346.0,8192.0,7346.0,2048.0
run-40.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,4.801126480102539,116530,7346.0,8192.0,4763.0,2048.0
run-50.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,6.341872930526733,159089,7346.0,8192.0,7346.0,2048.0
run-25.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,3.661085844039917,47959,7346.0,8192.0,5272.0,2048.0
run-13.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,3.6033313274383545,46792,7346.0,8192.0,3673.0,2048.0
run-10.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.5,3.452289342880249,44804,7346.0,8192.0,7346.0,2048.0
run-4.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,3.731374502182007,48998,7346.0,8192.0,4763.0,2048.0
run-3.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.2,4.109773635864258,53522,7346.0,8192.0,4763.0,1638.0
run-60.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,6.595825910568237,357802,7346.0,8192.0,4763.0,2048.0
run-75.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.2,5.628735303878784,299629,7346.0,8192.0,4763.0,2048.0
run-55.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.5,8.237696409225464,448204,7346.0,8192.0,3673.0,1638.0
run-59.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,5.424114465713501,293310,7346.0,8192.0,7346.0,2048.0
run-57.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.2,6.18315315246582,334636,7346.0,8192.0,7346.0,2048.0
run-16.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.5,3.345930576324463,43678,7346.0,8192.0,7346.0,2048.0
run-42.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,5.105927467346191,123749,7346.0,8192.0,5272.0,2048.0
run-6.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/ERR875320.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,3.805053472518921,49348,7346.0,8192.0,5272.0,2048.0
run-23.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.8,3.915640830993652,51151,7346.0,8192.0,5272.0,2048.0
run-46.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.5,5.411528587341309,133358,7346.0,8192.0,7346.0,2048.0
run-66.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR3509077.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.2,4.883958578109741,245965,7346.0,8192.0,7346.0,2048.0
run-47.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,10,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,4,3,25,25,0.8,7.035724401473999,176638,7346.0,8192.0,4763.0,2048.0
run-78.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,50,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,25,33,25,25,0.2,9.383610963821411,543175,7346.0,8192.0,7346.0,2048.0
run-22.iteration-0,Linux,x86_64,4,4,2304.0,4112850944,2147479552,SE,1,/home/parallels/Documents/Trimmomatic/SRR12514558.1_1_4L.fastq.gz,Trimmed.fastq,5,20,10,33,33,10,26,25,25,0.5,3.418146848678589,44273,7346.0,8192.0,3673.0,2048.0
