GPU,sys_phy_cores_count,sys_tot_cores_count,sys_ntasks_per_core,sys_cpufreq_mhz,sys_phy_mem_bytes,sys_swap_mem_bytes,data_rr_count,model_encoding,batch_size,epochs,learning_rate,epochs_times_one,epochs_times_avg,fit_time
0,48,48,48,3900.0,201355902976,51539603456,200,2,200,2,0.001,10.72,8.905000000000001,17.91
0,48,48,48,3900.0,201355902976,51539603456,200,3,200,2,0.001,10.14,7.91,15.91
0,48,48,48,3900.0,201355907072,51539603456,2000,1,1,1,0.001,420.47,420.47,420.96
0,48,48,48,3900.0,201355907072,51539603456,2000,2,1,1,0.001,281.86,281.86,282.32
0,48,48,48,3900.0,201355907072,51539603456,2000,3,1,1,0.001,206.81,206.81,207.27
0,48,48,48,3900.0,201355907072,51539603456,2000,1,1,2,0.001,421.31,422.255,844.97
0,48,48,48,3900.0,201355907072,51539603456,2000,2,1,2,0.001,282.8,279.62,559.71
0,48,48,48,3900.0,201355907072,51539603456,2000,3,1,2,0.001,208.41,205.355,411.17
0,48,48,48,3900.0,201355907072,51539603456,2000,1,10,1,0.001,231.85,231.85,232.36
0,48,48,48,3900.0,201355907072,51539603456,2000,2,10,1,0.001,111.73,111.73,112.34
0,48,48,48,3900.0,201355907072,51539603456,2000,3,10,1,0.001,84.23,84.23,84.79
0,48,48,48,3900.0,201355907072,51539603456,2000,1,10,2,0.001,231.52,230.855,462.25
0,48,48,48,3900.0,201355907072,51539603456,2000,2,10,2,0.001,111.46,110.03,220.56
0,48,48,48,3900.0,201355907072,51539603456,2000,3,10,2,0.001,85.68,82.92,166.32
0,48,48,48,3900.0,201355907072,51539603456,2000,1,32,1,0.001,214.84,214.84,215.31
0,48,48,48,3900.0,201355907072,51539603456,2000,2,32,1,0.001,87.93,87.93,88.42
0,48,48,48,3900.0,201355907072,51539603456,2000,3,32,1,0.001,71.61,71.61,72.1
0,48,48,48,3900.0,201355907072,51539603456,2000,1,32,2,0.001,215.22,214.38,429.26
0,48,48,48,3900.0,201355907072,51539603456,2000,2,32,2,0.001,87.32,85.485,171.52
0,48,48,48,3900.0,201355907072,51539603456,2000,3,32,2,0.001,71.28,68.61,137.75
0,48,48,48,3900.0,201355907072,51539603456,2000,1,64,1,0.001,210.15,210.15,210.7
0,48,48,48,3900.0,201355907072,51539603456,2000,2,64,1,0.001,83.75,83.75,84.29
0,48,48,48,3900.0,201355907072,51539603456,2000,3,64,1,0.001,68.86,68.86,69.4
0,48,48,48,3900.0,201355907072,51539603456,2000,1,64,2,0.001,210.35,209.415,419.29
0,48,48,48,3900.0,201355907072,51539603456,2000,2,64,2,0.001,83.0,81.33500000000001,163.19
0,48,48,48,3900.0,201355907072,51539603456,2000,3,64,2,0.001,68.42,65.795,132.27
0,48,48,48,3900.0,201355907072,51539603456,2000,1,128,1,0.001,205.9,205.9,206.42
0,48,48,48,3900.0,201355907072,51539603456,2000,2,128,1,0.001,77.91,77.91,78.45
0,48,48,48,3900.0,201355907072,51539603456,2000,3,128,1,0.001,63.14,63.14,63.7
0,48,48,48,3900.0,201355907072,51539603456,2000,1,128,2,0.001,204.4,204.56,409.59
0,48,48,48,3900.0,201355907072,51539603456,2000,2,128,2,0.001,78.1,76.145,152.76
0,48,48,48,3900.0,201355907072,51539603456,2000,3,128,2,0.001,63.16,60.65,121.84
0,48,48,48,3900.0,201355902976,51539603456,400,1,1,1,0.001,84.33,84.33,84.48
0,48,48,48,3900.0,201355902976,51539603456,400,2,1,1,0.001,59.27,59.27,59.42
0,48,48,48,3900.0,201355902976,51539603456,400,3,1,1,0.001,45.51,45.51,45.66
0,48,48,48,3900.0,201355902976,51539603456,400,1,1,2,0.001,85.46,84.91,169.99
0,48,48,48,3900.0,201355902976,51539603456,400,2,1,2,0.001,59.85,57.875,115.88
0,48,48,48,3900.0,201355902976,51539603456,400,3,1,2,0.001,45.04,42.815,85.78
0,48,48,48,3900.0,201355902976,51539603456,400,1,10,1,0.001,47.14,47.14,47.26
0,48,48,48,3900.0,201355902976,51539603456,400,2,10,1,0.001,25.31,25.31,25.44
0,48,48,48,3900.0,201355902976,51539603456,400,3,10,1,0.001,20.55,20.55,20.71
0,48,48,48,3900.0,201355902976,51539603456,400,1,10,2,0.001,47.11,46.67,93.46
0,48,48,48,3900.0,201355902976,51539603456,400,2,10,2,0.001,24.93,23.245,46.62
0,48,48,48,3900.0,201355902976,51539603456,400,3,10,2,0.001,20.75,18.415,36.96
0,48,48,48,3900.0,201355902976,51539603456,400,1,32,1,0.001,43.51,43.51,43.65
0,48,48,48,3900.0,201355902976,51539603456,400,2,32,1,0.001,20.06,20.06,20.21
0,48,48,48,3900.0,201355902976,51539603456,400,3,32,1,0.001,18.0,18.0,18.13
0,48,48,48,3900.0,201355902976,51539603456,400,1,32,2,0.001,43.08,42.81,85.75
0,48,48,48,3900.0,201355902976,51539603456,400,2,32,2,0.001,20.64,18.68,37.52
0,48,48,48,3900.0,201355902976,51539603456,400,3,32,2,0.001,17.81,15.425,30.93
0,48,48,48,3900.0,201355902976,51539603456,400,1,64,1,0.001,42.33,42.33,42.46
0,48,48,48,3900.0,201355902976,51539603456,400,2,64,1,0.001,19.49,19.49,19.63
0,48,48,48,3900.0,201355902976,51539603456,400,3,64,1,0.001,17.55,17.55,17.62
0,48,48,48,3900.0,201355902976,51539603456,400,1,64,2,0.001,42.26,42.025,84.17
0,48,48,48,3900.0,201355902976,51539603456,400,2,64,2,0.001,19.9,17.895,35.95
0,48,48,48,3900.0,201355902976,51539603456,400,3,64,2,0.001,17.17,15.005,30.1
0,48,48,48,3900.0,201355902976,51539603456,400,1,128,1,0.001,41.89,41.89,42.01
0,48,48,48,3900.0,201355902976,51539603456,400,2,128,1,0.001,18.38,18.38,18.53
0,48,48,48,3900.0,201355902976,51539603456,400,3,128,1,0.001,16.12,16.12,16.33
0,48,48,48,3900.0,201355902976,51539603456,400,1,128,2,0.001,41.74,41.38,82.89
0,48,48,48,3900.0,201355902976,51539603456,400,2,128,2,0.001,18.39,16.71,33.6
0,48,48,48,3900.0,201355902976,51539603456,400,3,128,2,0.001,16.03,13.9,27.88
0,48,48,48,3900.0,201355902976,51539603456,400,1,400,1,0.001,41.21,41.21,41.33
0,48,48,48,3900.0,201355902976,51539603456,400,2,400,1,0.001,17.25,17.25,17.36
0,48,48,48,3900.0,201355902976,51539603456,400,3,400,1,0.001,15.17,15.17,15.32
0,48,48,48,3900.0,201355902976,51539603456,400,1,400,2,0.001,41.94,41.75,83.67
0,48,48,48,3900.0,201355902976,51539603456,400,2,400,2,0.001,17.39,15.465,31.09
0,48,48,48,3900.0,201355902976,51539603456,400,3,400,2,0.001,15.07,12.82,25.79
0,48,48,48,3900.0,201355907072,51539603456,5000,1,1,1,0.001,823.35,823.35,824.26
0,48,48,48,3900.0,201355907072,51539603456,5000,2,1,1,0.001,553.71,553.71,554.6
0,48,48,48,3900.0,201355907072,51539603456,5000,3,1,1,0.001,408.05,408.05,408.95
0,48,48,48,3900.0,201355907072,51539603456,5000,1,1,2,0.001,825.63,826.375,1653.65
0,48,48,48,3900.0,201355907072,51539603456,5000,2,1,2,0.001,556.06,554.01,1108.9
0,48,48,48,3900.0,201355907072,51539603456,5000,3,1,2,0.001,408.18,404.095,809.17
0,48,48,48,3900.0,201355907072,51539603456,5000,1,10,1,0.001,461.71,461.71,462.7
0,48,48,48,3900.0,201355907072,51539603456,5000,2,10,1,0.001,217.38,217.38,218.39
0,48,48,48,3900.0,201355907072,51539603456,5000,3,10,1,0.001,162.99,162.99,164.27
0,48,48,48,3900.0,201355907072,51539603456,5000,1,10,2,0.001,459.92,459.19,919.42
0,48,48,48,3900.0,201355907072,51539603456,5000,2,10,2,0.001,216.92,215.005,431.19
0,48,48,48,3900.0,201355907072,51539603456,5000,3,10,2,0.001,162.86,161.10500000000002,323.17
0,48,48,48,3900.0,201355907072,51539603456,5000,1,32,1,0.001,427.43,427.43,428.34
0,48,48,48,3900.0,201355907072,51539603456,5000,2,32,1,0.001,171.38,171.38,172.28
0,48,48,48,3900.0,201355907072,51539603456,5000,3,32,1,0.001,134.32,134.32,135.34
0,48,48,48,3900.0,201355907072,51539603456,5000,1,32,2,0.001,428.88,427.875,856.78
0,48,48,48,3900.0,201355907072,51539603456,5000,2,32,2,0.001,170.32,168.48,337.85
0,48,48,48,3900.0,201355907072,51539603456,5000,3,32,2,0.001,135.39,132.47,265.84
0,48,48,48,3900.0,201355907072,51539603456,5000,1,64,1,0.001,420.41,420.41,421.31
0,48,48,48,3900.0,201355907072,51539603456,5000,2,64,1,0.001,162.59,162.59,163.58
0,48,48,48,3900.0,201355907072,51539603456,5000,3,64,1,0.001,129.9,129.9,130.99
0,48,48,48,3900.0,201355907072,51539603456,5000,1,64,2,0.001,419.27,417.925,836.76
0,48,48,48,3900.0,201355907072,51539603456,5000,2,64,2,0.001,161.51,159.865,320.67
0,48,48,48,3900.0,201355907072,51539603456,5000,3,64,2,0.001,128.92,126.255,253.4
0,48,48,48,3900.0,201355907072,51539603456,5000,1,128,1,0.001,409.16,409.16,410.08
0,48,48,48,3900.0,201355907072,51539603456,5000,2,128,1,0.001,152.18,152.18,153.15
0,48,48,48,3900.0,201355907072,51539603456,5000,3,128,1,0.001,121.06,121.06,122.19
0,48,48,48,3900.0,201355907072,51539603456,5000,1,128,2,0.001,410.95,410.235,821.5
0,48,48,48,3900.0,201355907072,51539603456,5000,2,128,2,0.001,152.01,150.165,301.39
0,48,48,48,3900.0,201355907072,51539603456,5000,3,128,2,0.001,119.86,117.685,236.3
0,28,28,28,3300.0,135104114688,51539603456,10000,1,1,1,0.001,1918.26,1918.26,1920.87
0,28,28,28,3300.0,135104114688,51539603456,10000,2,1,1,0.001,1295.73,1295.73,1298.06
